seed,dataset,arch,threshold,mean_observed_activity,final_avg_accuracy,mean_forgetting,overlap_cka,overlap_cosine,dead_network
0,cifar10,conv_snn,0.01,0.01136322021484375,0.5595,0.29700000000000004,0.004284330841619522,0.8902350783348083,False
0,cifar10,conv_snn,0.05,0.049279403686523435,0.7149,0.21837499999999999,0.007146176509559154,0.9280816316604614,False
0,cifar10,conv_snn,0.1,0.0925262451171875,0.7489,0.2065,0.008598935278132557,0.913614296913147,False
0,cifar10,conv_snn,0.2,0.15756187438964844,0.6677,0.305125,0.00769986524246633,0.9542386114597321,False
0,cifar10,conv_snn,0.3,0.18673629760742189,0.6642,0.30087499999999995,0.010375793045386671,0.9726195573806763,False
0,cifar10,conv_snn,0.4,0.1994647979736328,0.7261,0.22912499999999997,0.010523980716243386,0.9634962439537048,False
0,cifar10,mlp,0.01,0.010199737548828126,0.5791000000000001,0.23249999999999998,0.021089202724397182,0.8825210392475128,False
0,cifar10,mlp,0.05,0.04344482421875,0.6166,0.224125,0.03034749999642372,0.90365571975708,False
0,cifar10,mlp,0.1,0.08567085266113281,0.658,0.16062499999999996,0.02760562114417553,0.9462370812892914,False
0,cifar10,mlp,0.2,0.16731643676757812,0.6089,0.22125,0.03250407725572586,0.9550716400146484,False
0,cifar10,mlp,0.3,0.22412147521972656,0.6113,0.200625,0.018448723014444113,0.9292617619037629,False
0,cifar10,mlp,0.4,0.2796298980712891,0.5963,0.21012499999999998,0.013801250141113997,0.9666676759719849,False
0,mnist,mlp,0.01,0.0116485595703125,0.7611156333135045,0.2851149525630896,0.01562962820753455,0.7581635773181915,False
0,mnist,mlp,0.05,0.05012702941894531,0.8235440595097299,0.20327175039871176,0.016325147915631534,0.8902215182781219,False
0,mnist,mlp,0.1,0.10087051391601562,0.8280874369867963,0.19905978718925454,0.012173264799639583,0.9145117402076721,False
0,mnist,mlp,0.2,0.198175048828125,0.7412795655322129,0.31406736596811413,0.010597840882837772,0.9795531451702117,False
0,mnist,mlp,0.3,0.2821041107177734,0.7848950111715067,0.25987387134676265,0.00981305497698486,0.9846919178962708,False
0,mnist,mlp,0.4,0.3254150390625,0.8577188453666571,0.16971996265924116,0.008886936726048589,0.989446622133255,False
1,cifar10,conv_snn,0.01,0.011380767822265625,0.6551,0.225,0.002621332264970988,0.9576983213424682,False
1,cifar10,conv_snn,0.05,0.04890251159667969,0.6476,0.28225,0.008845616970211268,0.8968676745891571,False
1,cifar10,conv_snn,0.1,0.09567298889160156,0.7323999999999999,0.22249999999999998,0.008932702080346643,0.9590724408626556,False
1,cifar10,conv_snn,0.2,0.15689506530761718,0.7761,0.172,0.008766139298677445,0.9633508324623108,False
1,cifar10,conv_snn,0.3,0.17790184020996094,0.7273,0.236875,0.009292399464175104,0.9748147904872895,False
1,cifar10,conv_snn,0.4,0.1987762451171875,0.738,0.216875,0.011685346392914653,0.9653424501419068,False
1,cifar10,mlp,0.01,0.010150146484375,0.5942000000000001,0.23775,0.02146582417190075,0.8546599745750427,False
1,cifar10,mlp,0.05,0.04194488525390625,0.5896,0.25087499999999996,0.019968000799417497,0.9284659862518311,False
1,cifar10,mlp,0.1,0.08288078308105469,0.6483,0.18025000000000002,0.02440666817128658,0.9173893809318543,False
1,cifar10,mlp,0.2,0.17087554931640625,0.6101,0.219875,0.025424109399318696,0.9369313716888428,False
1,cifar10,mlp,0.3,0.22557563781738282,0.6235,0.18737499999999999,0.023576949536800385,0.9415262520313263,False
1,cifar10,mlp,0.4,0.28278312683105467,0.625,0.18525,0.014863022696226835,0.9680525958538055,False
1,mnist,mlp,0.01,0.011692428588867187,0.7788471433712755,0.25798814897785183,0.010845308657735586,0.7305817246437073,False
1,mnist,mlp,0.05,0.050067901611328125,0.8768698568523196,0.13873298450749344,0.01769742341712117,0.8178995907306671,False
1,mnist,mlp,0.1,0.10126190185546875,0.7327152061502658,0.3166401683206408,0.015792560204863547,0.9632119536399841,False
1,mnist,mlp,0.2,0.19860458374023438,0.8505074417188465,0.17133000542758328,0.010184709914028645,0.9756678342819214,False
1,mnist,mlp,0.3,0.2759361267089844,0.8827155947004772,0.13921963469707407,0.009687704406678677,0.9849071621894836,False
1,mnist,mlp,0.4,0.3289764404296875,0.9619581743393795,0.04104138820941114,0.008926630532369018,0.9881597578525543,False
2,cifar10,conv_snn,0.01,0.011587905883789062,0.6133,0.2245,0.00419497323455289,0.9688783049583435,False
2,cifar10,conv_snn,0.05,0.04849739074707031,0.6980999999999999,0.26087499999999997,0.0062203237786889074,0.8825124144554138,False
2,cifar10,conv_snn,0.1,0.09483642578125,0.6336999999999999,0.336875,0.00923408130183816,0.9228547930717468,False
2,cifar10,conv_snn,0.2,0.1593852996826172,0.6894,0.26587500000000003,0.008948812214657664,0.9518274307250977,False
2,cifar10,conv_snn,0.3,0.18875198364257811,0.7263,0.229375,0.009210397629067302,0.9716349482536316,False
2,cifar10,conv_snn,0.4,0.21260948181152345,0.6767,0.29100000000000004,0.008704040665179491,0.9741274595260621,False
2,cifar10,mlp,0.01,0.010016250610351562,0.6326,0.17749999999999996,0.020714569091796874,0.9146349906921387,False
2,cifar10,mlp,0.05,0.041260910034179685,0.625,0.21825000000000003,0.027295629121363164,0.9263275146484375,False
2,cifar10,mlp,0.1,0.08492965698242187,0.6368,0.199375,0.034734968282282355,0.9286076486110687,False
2,cifar10,mlp,0.2,0.16582756042480468,0.6602,0.150125,0.024900872819125654,0.9401787281036377,False
2,cifar10,mlp,0.3,0.22207717895507811,0.6171,0.19075000000000003,0.016675757616758345,0.9490502715110779,False
2,cifar10,mlp,0.4,0.2782318115234375,0.6378,0.159375,0.010463541187345982,0.9580680370330811,False
2,mnist,mlp,0.01,0.011674118041992188,0.7742232847908476,0.2681088398094801,0.013197142072021962,0.8160837888717651,False
2,mnist,mlp,0.05,0.05022735595703125,0.7836838664579843,0.2566285407999114,0.014993966743350028,0.8333966910839081,False
2,mnist,mlp,0.1,0.10113029479980469,0.7733423525923466,0.2699146051790535,0.012978979852050543,0.9570380806922912,False
2,mnist,mlp,0.2,0.19827651977539062,0.8524707937676446,0.17253621165984886,0.011267896369099617,0.9762369692325592,False
2,mnist,mlp,0.3,0.2798614501953125,0.8503406065801744,0.1801417071615844,0.008460323745384812,0.9805763006210327,False
2,mnist,mlp,0.4,0.3251434326171875,0.8116367658513365,0.22708096580751738,0.00996893090195954,0.9875189542770386,False
